Step,Train Loss,Train Accuracy,Step Time (s)
1,1.3783446768258003,0.418,155.30570006370544
2,1.3778511704050507,0.427,154.06804299354553
3,1.3773384376009574,0.431,154.55186915397644
4,1.376805293246474,0.439,154.24252605438232
5,1.376250522344611,0.448,154.1278510093689
6,1.375672878447255,0.452,154.01589703559875
7,1.3750710824671089,0.462,154.0614242553711
8,1.3744438219343325,0.48,159.5411660671234
9,1.3737897507137649,0.489,160.76782202720642
10,1.3731074892061823,0.494,156.47399497032166
11,1.372395625061472,0.496,167.5336709022522
12,1.3716527144347994,0.497,180.10998106002808
13,1.370877283823662,0.492,179.00909900665283
14,1.3700678325214328,0.494,167.07508301734924
15,1.3692228357281995,0.497,180.70321893692017
16,1.3683407483563397,0.495,183.4447479248047
17,1.3674200095693843,0.498,179.31934714317322
18,1.3664590480863665,0.499,180.80785512924194
19,1.3654562882805446,0.501,174.9827332496643
20,1.3644101570928304,0.504,187.89968085289001
21,1.3633190917693083,0.509,182.79236817359924
22,1.3621815484210948,0.509,176.15687489509583
23,1.360996011388936,0.506,179.57858896255493
24,1.3597610033755743,0.509,179.56320881843567
25,1.3584750962912049,0.51,182.05656385421753
26,1.357136922730286,0.513,174.09689807891846
27,1.3557451879774947,0.515,176.65885066986084
28,1.3542986824084216,0.517,180.3891499042511
29,1.3527962941288671,0.521,180.66644716262817
30,1.3512370216628231,0.526,178.76084923744202
31,1.3496199864782594,0.525,185.72587704658508
32,1.3479444451114266,0.523,181.82026195526123
33,1.3462098006316576,0.52,184.92538905143738
34,1.3444156131729437,0.521,183.43566298484802
35,1.342561609252075,0.524,180.0551278591156
36,1.3406476895878356,0.526,183.11999702453613
37,1.3386739351518844,0.525,179.61592817306519
38,1.336640611197188,0.527,181.12607097625732
39,1.3345481690427123,0.53,183.07128620147705
40,1.33239724543657,0.527,184.64471292495728
41,1.3301886593722885,0.527,182.93104124069214
42,1.3279234062964893,0.527,184.8596270084381
43,1.3256026497208564,0.529,178.4480550289154
44,1.3232277103216785,0.53,174.75002908706665
45,1.320800052696396,0.534,173.54463624954224
46,1.318321270022234,0.533,171.53072690963745
47,1.3157930669330768,0.532,171.09101700782776
